FromTableName,FromColumnName,ToTableName,ToColumnName,IsActive,Cardinality,CrossFilteringBehavior,FromKeyCount,ToKeyCount,RelyOnReferentialIntegrity
UAU Empresas,DataSimples_emp,,,1,M:1,Single,3,,0
UAU Empresas,DataInicioValidadeReinf_efisc,,,1,M:1,Single,39,,0
ShPoint Empreendimento,UAU.Emp.SPE's.,UAU Empresas,Codigo_emp,1,M:1,Both,79,,0
UAU Ordem Compra,empresa_ocp,UAU Empresas,Codigo_emp,0,M:1,Single,86,,0
UAU Controle Desembolso,empresa_cd,UAU Empresas,Codigo_emp,0,M:1,Single,219,,0
UAU Ordem Compra Historico,EmprObr-OC,UAU Ordem Compra,EmprObr-OC,0,M:1,Single,173736,,0
UAU Ordem Compra Historico,Empr,UAU Empresas,Codigo_emp,0,M:1,Single,200,,0
UAU Contratos Medição,empresa_med,UAU Empresas,Codigo_emp,0,M:1,Single,182,,0
UAU Resumo Orçamento,Empresa_pla,UAU Empresas,Codigo_emp,0,M:1,Single,202,,0
UAU Empresas / Obra,Codigo_emp,UAU Empresas,Codigo_emp,1,M:1,Both,137,,0
UAU Contratos,EmpObr,UAU Empresas / Obra,EmpObra,1,M:1,Single,491,,0
UAU Contratos Medição,EmpObr,UAU Empresas / Obra,EmpObra,1,M:1,Single,651,,0
UAU Ordem Compra Historico,EmpObr,UAU Empresas / Obra,EmpObra,1,M:1,Single,1478,,0
UAU Resumo Orçamento,EmpObr,UAU Empresas / Obra,EmpObra,1,M:1,Single,1919,,0
UAU Ordem Compra,EmpObr,UAU Empresas / Obra,EmpObra,1,M:1,Single,360,,0
DataInicial,DataInicial,,,1,M:1,Single,4,,0
DataFinal,DataFinal,,,1,M:1,Single,4,,0
dCalendário,DATA,,,1,M:1,Single,14977,,0
dCalendário,DT REFERENCIA,,,1,M:1,Single,495,,0
dCalendário,DT ATUALIZAÇÃO,,,1,M:1,Single,4,,0
UAU Contratos Medição,dataaprov_med,dCalendário,DATA,1,M:1,Single,9351,,0
UAU Contratos Medição,DataFim,dCalendário,DATA,0,M:1,Single,1618,,0
UAU Contratos Medição,DataInicio,dCalendário,DATA,0,M:1,Single,1533,,0
UAU Contratos Medição,datareajuste_med,dCalendário,DATA,0,M:1,Single,554,,0
UAU Contratos Medição,dtcriacao_med,dCalendário,DATA,0,M:1,Single,1156,,0
UAU Contratos,DtCriacao_cont,dCalendário,DATA,1,M:1,Single,440,,0
UAU Contratos,DtFim_cont,dCalendário,DATA,0,M:1,Single,702,,0
UAU Contratos,DtInicio_cont,dCalendário,DATA,0,M:1,Single,563,,0
UAU Ordem Compra Historico,dtatividade_hpro,dCalendário,DATA,1,M:1,Single,1809,,0
UAU Ordem Compra,datager_ocp,dCalendário,DATA,1,M:1,Single,988,,0
UAU Controle Desembolso,mes_cd,dCalendário,DATA,1,M:1,Single,745,,0
UAU Resumo Orçamento,Dfim_pla,dCalendário,DATA,1,M:1,Single,39,,0
UAU Resumo Orçamento,Dini_pla,dCalendário,DATA,0,M:1,Single,81,,0
