TableName,ColumnName,PandasDataType
0-DVQ,Anexos,string
0-DVQ,LR,string
0-DVQ,LE,string
0-DVQ,PONTA,string
0-DVQ,Empresa,Int64
0-DVQ,Desc. Empresa,string
0-DVQ,Obra,string
0-DVQ,Desc. Obra,string
0-DVQ,Processo,Int64
0-DVQ,Parcela,Int64
0-DVQ,Valor processo,decimal.Decimal
0-DVQ,Confirmado,string
0-DVQ,Fornecedor,string
0-DVQ,Observação,string
0-DVQ,Dt. Prorrogação,datetime64[ns]
0-DVQ,Dt. Vencimento,datetime64[ns]
0-DVQ,Tipo documento,Int64
0-DVQ,Status,Int64
1-Emissão Pgto,Anexos,string
1-Emissão Pgto,LR,string
1-Emissão Pgto,LE,string
1-Emissão Pgto,PONTA,string
1-Emissão Pgto,Empresa,Int64
1-Emissão Pgto,Desc. Empresa,string
1-Emissão Pgto,Obra,string
1-Emissão Pgto,Desc. Obra,string
1-Emissão Pgto,Processo,Int64
1-Emissão Pgto,Parcela,Int64
1-Emissão Pgto,Valor processo,decimal.Decimal
1-Emissão Pgto,Fornecedor,string
1-Emissão Pgto,Data Prorrogação,datetime64[ns]
1-Emissão Pgto,Tipo documento,string
2-Medição Contrato,Anexos,string
2-Medição Contrato,LR,string
2-Medição Contrato,LE,string
2-Medição Contrato,PONTA,string
2-Medição Contrato,Empresa,Int64
2-Medição Contrato,Desc. Empresa,string
2-Medição Contrato,Obra,string
2-Medição Contrato,Desc. Obra,string
2-Medição Contrato,Medição,Int64
2-Medição Contrato,Contrato,Int64
2-Medição Contrato,Subtotal,Float64
2-Medição Contrato,Acréscimos,Int64
2-Medição Contrato,Descontos,Float64
2-Medição Contrato,Adiantamentos,Float64
2-Medição Contrato,Total,decimal.Decimal
2-Medição Contrato,Contratado,string
2-Medição Contrato,Observação,string
2-Medição Contrato,Dt. geração,datetime64[ns]
3-Simulação de Cotação,Anexos,string
3-Simulação de Cotação,LR,string
3-Simulação de Cotação,LE,string
3-Simulação de Cotação,PONTA,string
3-Simulação de Cotação,Empresa,Int64
3-Simulação de Cotação,Desc. Empresa,string
3-Simulação de Cotação,Cotação,Int64
3-Simulação de Cotação,Simulação,Int64
3-Simulação de Cotação,Valor,Float64
3-Simulação de Cotação,Desconto,Int64
3-Simulação de Cotação,Total,decimal.Decimal
3-Simulação de Cotação,Valor Transporte,Int64
3-Simulação de Cotação,Usuário,string
3-Simulação de Cotação,Data,datetime64[ns]
3-Simulação de Cotação,Simulação Geral,Int64
3-Simulação de Cotação,Cotação Geral,Int64
3-Simulação de Cotação,Origem,string
3-Simulação de Cotação,Desc. Cotação,string
3-Simulação de Cotação,Tipo,string
3-Simulação de Cotação,Subtotal,decimal.Decimal
3-Simulação de Cotação,Preço meta,Float64
3-Simulação de Cotação,ICMS,Int64
3-Simulação de Cotação,Vencimento,datetime64[ns]
4-Confirmação Cotação,Anexos,string
4-Confirmação Cotação,LR,string
4-Confirmação Cotação,LE,string
4-Confirmação Cotação,PONTA,string
