TableName,ColumnName,PandasDataType
DataFinal,DataFinal,datetime64[ns]
DataInicial,DataInicial,datetime64[ns]
DateTableTemplate_94599013-d882-45a4-96ee-ed0115f994df,Ano,object
DateTableTemplate_94599013-d882-45a4-96ee-ed0115f994df,MonthNo,object
DateTableTemplate_94599013-d882-45a4-96ee-ed0115f994df,Mês,object
DateTableTemplate_94599013-d882-45a4-96ee-ed0115f994df,QuarterNo,object
DateTableTemplate_94599013-d882-45a4-96ee-ed0115f994df,Trimestre,object
DateTableTemplate_94599013-d882-45a4-96ee-ed0115f994df,Dia,object
Faixa Aprovação Incorporação,Faixa Aprovação,string
Faixa Aprovação Incorporação,Min,Int64
Faixa Aprovação Incorporação,Max,Float64
Faixa Aprovação Incorporação,Comite Minimo,string
Faixa Aprovação Multipropriedade,Faixa Aprovação,string
Faixa Aprovação Multipropriedade,Min,Int64
Faixa Aprovação Multipropriedade,Max,Float64
Faixa Aprovação Multipropriedade,Comite Minimo,string
Faixa Aprovação Urbanismo,Faixa Aprovação,string
Faixa Aprovação Urbanismo,Min,Int64
Faixa Aprovação Urbanismo,Max,Float64
Faixa Aprovação Urbanismo,Comite Minimo,string
LocalDateTable_09a0781b-1086-454e-9202-5f22c6640f80,Ano,object
LocalDateTable_09a0781b-1086-454e-9202-5f22c6640f80,MonthNo,object
LocalDateTable_09a0781b-1086-454e-9202-5f22c6640f80,Mês,object
LocalDateTable_09a0781b-1086-454e-9202-5f22c6640f80,QuarterNo,object
LocalDateTable_09a0781b-1086-454e-9202-5f22c6640f80,Trimestre,object
LocalDateTable_09a0781b-1086-454e-9202-5f22c6640f80,Dia,object
LocalDateTable_10cb6669-f79f-4abf-9add-fa8cc12ea641,Ano,object
LocalDateTable_10cb6669-f79f-4abf-9add-fa8cc12ea641,MonthNo,object
LocalDateTable_10cb6669-f79f-4abf-9add-fa8cc12ea641,Mês,object
LocalDateTable_10cb6669-f79f-4abf-9add-fa8cc12ea641,QuarterNo,object
LocalDateTable_10cb6669-f79f-4abf-9add-fa8cc12ea641,Trimestre,object
LocalDateTable_10cb6669-f79f-4abf-9add-fa8cc12ea641,Dia,object
LocalDateTable_1913a615-0300-4c30-b303-824e647c7b06,Ano,object
LocalDateTable_1913a615-0300-4c30-b303-824e647c7b06,MonthNo,object
LocalDateTable_1913a615-0300-4c30-b303-824e647c7b06,Mês,object
LocalDateTable_1913a615-0300-4c30-b303-824e647c7b06,QuarterNo,object
LocalDateTable_1913a615-0300-4c30-b303-824e647c7b06,Trimestre,object
LocalDateTable_1913a615-0300-4c30-b303-824e647c7b06,Dia,object
LocalDateTable_209d8351-5366-4714-bebf-299e3063f0de,Ano,object
LocalDateTable_209d8351-5366-4714-bebf-299e3063f0de,MonthNo,object
LocalDateTable_209d8351-5366-4714-bebf-299e3063f0de,Mês,object
LocalDateTable_209d8351-5366-4714-bebf-299e3063f0de,QuarterNo,object
LocalDateTable_209d8351-5366-4714-bebf-299e3063f0de,Trimestre,object
LocalDateTable_209d8351-5366-4714-bebf-299e3063f0de,Dia,object
LocalDateTable_220fa116-b653-4aa2-a7e5-940a3a9f8a2d,Ano,object
LocalDateTable_220fa116-b653-4aa2-a7e5-940a3a9f8a2d,MonthNo,object
LocalDateTable_220fa116-b653-4aa2-a7e5-940a3a9f8a2d,Mês,object
LocalDateTable_220fa116-b653-4aa2-a7e5-940a3a9f8a2d,QuarterNo,object
LocalDateTable_220fa116-b653-4aa2-a7e5-940a3a9f8a2d,Trimestre,object
LocalDateTable_220fa116-b653-4aa2-a7e5-940a3a9f8a2d,Dia,object
LocalDateTable_346f2357-e2d8-40ba-916b-9afa85cc0cc5,Ano,object
LocalDateTable_346f2357-e2d8-40ba-916b-9afa85cc0cc5,MonthNo,object
LocalDateTable_346f2357-e2d8-40ba-916b-9afa85cc0cc5,Mês,object
LocalDateTable_346f2357-e2d8-40ba-916b-9afa85cc0cc5,QuarterNo,object
LocalDateTable_346f2357-e2d8-40ba-916b-9afa85cc0cc5,Trimestre,object
LocalDateTable_346f2357-e2d8-40ba-916b-9afa85cc0cc5,Dia,object
LocalDateTable_3821679b-930a-45cc-ac7f-ecafa66627fb,Ano,object
LocalDateTable_3821679b-930a-45cc-ac7f-ecafa66627fb,MonthNo,object
LocalDateTable_3821679b-930a-45cc-ac7f-ecafa66627fb,Mês,object
LocalDateTable_3821679b-930a-45cc-ac7f-ecafa66627fb,QuarterNo,object
LocalDateTable_3821679b-930a-45cc-ac7f-ecafa66627fb,Trimestre,object
LocalDateTable_3821679b-930a-45cc-ac7f-ecafa66627fb,Dia,object
LocalDateTable_3c7dbd06-d89d-488d-ab37-239af5a23578,Ano,object
LocalDateTable_3c7dbd06-d89d-488d-ab37-239af5a23578,MonthNo,object
LocalDateTable_3c7dbd06-d89d-488d-ab37-239af5a23578,Mês,object
LocalDateTable_3c7dbd06-d89d-488d-ab37-239af5a23578,QuarterNo,object
LocalDateTable_3c7dbd06-d89d-488d-ab37-239af5a23578,Trimestre,object
LocalDateTable_3c7dbd06-d89d-488d-ab37-239af5a23578,Dia,object
LocalDateTable_3d39646d-3648-43eb-b18a-65ab2e32ef9d,Ano,object
LocalDateTable_3d39646d-3648-43eb-b18a-65ab2e32ef9d,MonthNo,object
LocalDateTable_3d39646d-3648-43eb-b18a-65ab2e32ef9d,Mês,object
LocalDateTable_3d39646d-3648-43eb-b18a-65ab2e32ef9d,QuarterNo,object
LocalDateTable_3d39646d-3648-43eb-b18a-65ab2e32ef9d,Trimestre,object
LocalDateTable_3d39646d-3648-43eb-b18a-65ab2e32ef9d,Dia,object
LocalDateTable_49917949-3817-4cae-963f-90f29baef3b1,Ano,object
LocalDateTable_49917949-3817-4cae-963f-90f29baef3b1,MonthNo,object
LocalDateTable_49917949-3817-4cae-963f-90f29baef3b1,Mês,object
LocalDateTable_49917949-3817-4cae-963f-90f29baef3b1,QuarterNo,object
LocalDateTable_49917949-3817-4cae-963f-90f29baef3b1,Trimestre,object
LocalDateTable_49917949-3817-4cae-963f-90f29baef3b1,Dia,object
LocalDateTable_4dc0b8fe-ee30-43b3-bec8-12f006619152,Ano,object
LocalDateTable_4dc0b8fe-ee30-43b3-bec8-12f006619152,MonthNo,object
LocalDateTable_4dc0b8fe-ee30-43b3-bec8-12f006619152,Mês,object
LocalDateTable_4dc0b8fe-ee30-43b3-bec8-12f006619152,QuarterNo,object
LocalDateTable_4dc0b8fe-ee30-43b3-bec8-12f006619152,Trimestre,object
LocalDateTable_4dc0b8fe-ee30-43b3-bec8-12f006619152,Dia,object
LocalDateTable_4f5a7ddf-86db-4581-a3bd-434b8a3663d4,Ano,object
LocalDateTable_4f5a7ddf-86db-4581-a3bd-434b8a3663d4,MonthNo,object
LocalDateTable_4f5a7ddf-86db-4581-a3bd-434b8a3663d4,Mês,object
LocalDateTable_4f5a7ddf-86db-4581-a3bd-434b8a3663d4,QuarterNo,object
LocalDateTable_4f5a7ddf-86db-4581-a3bd-434b8a3663d4,Trimestre,object
LocalDateTable_4f5a7ddf-86db-4581-a3bd-434b8a3663d4,Dia,object
LocalDateTable_4f7aabba-8db5-4abe-9f01-c4350a78d011,Ano,object
LocalDateTable_4f7aabba-8db5-4abe-9f01-c4350a78d011,MonthNo,object
LocalDateTable_4f7aabba-8db5-4abe-9f01-c4350a78d011,Mês,object
LocalDateTable_4f7aabba-8db5-4abe-9f01-c4350a78d011,QuarterNo,object
LocalDateTable_4f7aabba-8db5-4abe-9f01-c4350a78d011,Trimestre,object
LocalDateTable_4f7aabba-8db5-4abe-9f01-c4350a78d011,Dia,object
LocalDateTable_56d3e7ab-5dbf-4020-9105-df46fe55f88a,Ano,object
LocalDateTable_56d3e7ab-5dbf-4020-9105-df46fe55f88a,MonthNo,object
LocalDateTable_56d3e7ab-5dbf-4020-9105-df46fe55f88a,Mês,object
LocalDateTable_56d3e7ab-5dbf-4020-9105-df46fe55f88a,QuarterNo,object
LocalDateTable_56d3e7ab-5dbf-4020-9105-df46fe55f88a,Trimestre,object
LocalDateTable_56d3e7ab-5dbf-4020-9105-df46fe55f88a,Dia,object
LocalDateTable_5be59c0a-9a77-4fc9-aaff-1092a633260e,Ano,object
LocalDateTable_5be59c0a-9a77-4fc9-aaff-1092a633260e,MonthNo,object
LocalDateTable_5be59c0a-9a77-4fc9-aaff-1092a633260e,Mês,object
LocalDateTable_5be59c0a-9a77-4fc9-aaff-1092a633260e,QuarterNo,object
LocalDateTable_5be59c0a-9a77-4fc9-aaff-1092a633260e,Trimestre,object
LocalDateTable_5be59c0a-9a77-4fc9-aaff-1092a633260e,Dia,object
LocalDateTable_6a3a3e23-d9f1-4453-9b15-397d7f160228,Ano,object
LocalDateTable_6a3a3e23-d9f1-4453-9b15-397d7f160228,MonthNo,object
LocalDateTable_6a3a3e23-d9f1-4453-9b15-397d7f160228,Mês,object
LocalDateTable_6a3a3e23-d9f1-4453-9b15-397d7f160228,QuarterNo,object
LocalDateTable_6a3a3e23-d9f1-4453-9b15-397d7f160228,Trimestre,object
LocalDateTable_6a3a3e23-d9f1-4453-9b15-397d7f160228,Dia,object
LocalDateTable_7ae58e69-4ebe-42aa-abc9-7a6bdc704889,Ano,object
LocalDateTable_7ae58e69-4ebe-42aa-abc9-7a6bdc704889,MonthNo,object
LocalDateTable_7ae58e69-4ebe-42aa-abc9-7a6bdc704889,Mês,object
LocalDateTable_7ae58e69-4ebe-42aa-abc9-7a6bdc704889,QuarterNo,object
LocalDateTable_7ae58e69-4ebe-42aa-abc9-7a6bdc704889,Trimestre,object
LocalDateTable_7ae58e69-4ebe-42aa-abc9-7a6bdc704889,Dia,object
LocalDateTable_7d397acc-e332-4a28-a2ed-04d479935739,Ano,object
LocalDateTable_7d397acc-e332-4a28-a2ed-04d479935739,MonthNo,object
LocalDateTable_7d397acc-e332-4a28-a2ed-04d479935739,Mês,object
LocalDateTable_7d397acc-e332-4a28-a2ed-04d479935739,QuarterNo,object
LocalDateTable_7d397acc-e332-4a28-a2ed-04d479935739,Trimestre,object
LocalDateTable_7d397acc-e332-4a28-a2ed-04d479935739,Dia,object
LocalDateTable_8e5e096d-6934-409b-9db5-d267d97ae78d,Ano,object
LocalDateTable_8e5e096d-6934-409b-9db5-d267d97ae78d,MonthNo,object
LocalDateTable_8e5e096d-6934-409b-9db5-d267d97ae78d,Mês,object
LocalDateTable_8e5e096d-6934-409b-9db5-d267d97ae78d,QuarterNo,object
LocalDateTable_8e5e096d-6934-409b-9db5-d267d97ae78d,Trimestre,object
LocalDateTable_8e5e096d-6934-409b-9db5-d267d97ae78d,Dia,object
LocalDateTable_9325eb35-2a9a-4d5e-8862-48de675ae82c,Ano,object
LocalDateTable_9325eb35-2a9a-4d5e-8862-48de675ae82c,MonthNo,object
LocalDateTable_9325eb35-2a9a-4d5e-8862-48de675ae82c,Mês,object
LocalDateTable_9325eb35-2a9a-4d5e-8862-48de675ae82c,QuarterNo,object
LocalDateTable_9325eb35-2a9a-4d5e-8862-48de675ae82c,Trimestre,object
LocalDateTable_9325eb35-2a9a-4d5e-8862-48de675ae82c,Dia,object
LocalDateTable_a4109498-154e-4eb1-8a2e-bac7b3d73fd2,Ano,object
LocalDateTable_a4109498-154e-4eb1-8a2e-bac7b3d73fd2,MonthNo,object
LocalDateTable_a4109498-154e-4eb1-8a2e-bac7b3d73fd2,Mês,object
LocalDateTable_a4109498-154e-4eb1-8a2e-bac7b3d73fd2,QuarterNo,object
LocalDateTable_a4109498-154e-4eb1-8a2e-bac7b3d73fd2,Trimestre,object
LocalDateTable_a4109498-154e-4eb1-8a2e-bac7b3d73fd2,Dia,object
LocalDateTable_aa7ed345-26b4-469b-8cd3-30f39ce6aab8,Ano,object
LocalDateTable_aa7ed345-26b4-469b-8cd3-30f39ce6aab8,MonthNo,object
LocalDateTable_aa7ed345-26b4-469b-8cd3-30f39ce6aab8,Mês,object
LocalDateTable_aa7ed345-26b4-469b-8cd3-30f39ce6aab8,QuarterNo,object
LocalDateTable_aa7ed345-26b4-469b-8cd3-30f39ce6aab8,Trimestre,object
LocalDateTable_aa7ed345-26b4-469b-8cd3-30f39ce6aab8,Dia,object
LocalDateTable_b685d9e5-2a68-4bd4-90c1-980cd29e7cdb,Ano,object
LocalDateTable_b685d9e5-2a68-4bd4-90c1-980cd29e7cdb,MonthNo,object
LocalDateTable_b685d9e5-2a68-4bd4-90c1-980cd29e7cdb,Mês,object
LocalDateTable_b685d9e5-2a68-4bd4-90c1-980cd29e7cdb,QuarterNo,object
LocalDateTable_b685d9e5-2a68-4bd4-90c1-980cd29e7cdb,Trimestre,object
LocalDateTable_b685d9e5-2a68-4bd4-90c1-980cd29e7cdb,Dia,object
LocalDateTable_bd1f5fe1-fc5e-4eac-83c6-22c164ed862e,Ano,object
LocalDateTable_bd1f5fe1-fc5e-4eac-83c6-22c164ed862e,MonthNo,object
LocalDateTable_bd1f5fe1-fc5e-4eac-83c6-22c164ed862e,Mês,object
LocalDateTable_bd1f5fe1-fc5e-4eac-83c6-22c164ed862e,QuarterNo,object
LocalDateTable_bd1f5fe1-fc5e-4eac-83c6-22c164ed862e,Trimestre,object
LocalDateTable_bd1f5fe1-fc5e-4eac-83c6-22c164ed862e,Dia,object
LocalDateTable_c44969d6-e517-43c5-b20c-3baf73c43db3,Ano,object
LocalDateTable_c44969d6-e517-43c5-b20c-3baf73c43db3,MonthNo,object
LocalDateTable_c44969d6-e517-43c5-b20c-3baf73c43db3,Mês,object
LocalDateTable_c44969d6-e517-43c5-b20c-3baf73c43db3,QuarterNo,object
LocalDateTable_c44969d6-e517-43c5-b20c-3baf73c43db3,Trimestre,object
LocalDateTable_c44969d6-e517-43c5-b20c-3baf73c43db3,Dia,object
LocalDateTable_d47d5105-d558-468c-be80-e78daa0de043,Ano,object
LocalDateTable_d47d5105-d558-468c-be80-e78daa0de043,MonthNo,object
LocalDateTable_d47d5105-d558-468c-be80-e78daa0de043,Mês,object
LocalDateTable_d47d5105-d558-468c-be80-e78daa0de043,QuarterNo,object
LocalDateTable_d47d5105-d558-468c-be80-e78daa0de043,Trimestre,object
LocalDateTable_d47d5105-d558-468c-be80-e78daa0de043,Dia,object
LocalDateTable_e99665a2-20e0-46c2-9afe-aa19878b699d,Ano,object
LocalDateTable_e99665a2-20e0-46c2-9afe-aa19878b699d,MonthNo,object
LocalDateTable_e99665a2-20e0-46c2-9afe-aa19878b699d,Mês,object
LocalDateTable_e99665a2-20e0-46c2-9afe-aa19878b699d,QuarterNo,object
LocalDateTable_e99665a2-20e0-46c2-9afe-aa19878b699d,Trimestre,object
LocalDateTable_e99665a2-20e0-46c2-9afe-aa19878b699d,Dia,object
LocalDateTable_ec98d5a1-4ddc-4977-92e3-2cd6387fdcc4,Ano,object
LocalDateTable_ec98d5a1-4ddc-4977-92e3-2cd6387fdcc4,MonthNo,object
LocalDateTable_ec98d5a1-4ddc-4977-92e3-2cd6387fdcc4,Mês,object
LocalDateTable_ec98d5a1-4ddc-4977-92e3-2cd6387fdcc4,QuarterNo,object
LocalDateTable_ec98d5a1-4ddc-4977-92e3-2cd6387fdcc4,Trimestre,object
LocalDateTable_ec98d5a1-4ddc-4977-92e3-2cd6387fdcc4,Dia,object
LocalDateTable_f4fe28ec-af05-4310-9f45-b398fe4cea85,Ano,object
