TableName,ColumnName,Expression
DateTableTemplate_182fc2d8-b3e2-48be-b723-6fa719341ab3,Ano,YEAR([Date])
DateTableTemplate_182fc2d8-b3e2-48be-b723-6fa719341ab3,MonthNo,MONTH([Date])
DateTableTemplate_182fc2d8-b3e2-48be-b723-6fa719341ab3,Mês,"FORMAT([Date], ""MMMM"")"
DateTableTemplate_182fc2d8-b3e2-48be-b723-6fa719341ab3,QuarterNo,INT(([MonthNo] + 2) / 3)
DateTableTemplate_182fc2d8-b3e2-48be-b723-6fa719341ab3,Trimestre,"""Trim "" & [QuarterNo]"
DateTableTemplate_182fc2d8-b3e2-48be-b723-6fa719341ab3,Dia,DAY([Date])
LocalDateTable_fe4b8bad-3384-4516-8404-31cc14421b6e,Ano,YEAR([Date])
LocalDateTable_fe4b8bad-3384-4516-8404-31cc14421b6e,MonthNo,MONTH([Date])
LocalDateTable_fe4b8bad-3384-4516-8404-31cc14421b6e,Mês,"FORMAT([Date], ""MMMM"")"
LocalDateTable_fe4b8bad-3384-4516-8404-31cc14421b6e,QuarterNo,INT(([MonthNo] + 2) / 3)
LocalDateTable_fe4b8bad-3384-4516-8404-31cc14421b6e,Trimestre,"""Trim "" & [QuarterNo]"
LocalDateTable_fe4b8bad-3384-4516-8404-31cc14421b6e,Dia,DAY([Date])
LocalDateTable_193cda54-aba0-4f9c-b8e8-10f16e8f0d23,Ano,YEAR([Date])
LocalDateTable_193cda54-aba0-4f9c-b8e8-10f16e8f0d23,MonthNo,MONTH([Date])
LocalDateTable_193cda54-aba0-4f9c-b8e8-10f16e8f0d23,Mês,"FORMAT([Date], ""MMMM"")"
LocalDateTable_193cda54-aba0-4f9c-b8e8-10f16e8f0d23,QuarterNo,INT(([MonthNo] + 2) / 3)
LocalDateTable_193cda54-aba0-4f9c-b8e8-10f16e8f0d23,Trimestre,"""Trim "" & [QuarterNo]"
LocalDateTable_193cda54-aba0-4f9c-b8e8-10f16e8f0d23,Dia,DAY([Date])
LocalDateTable_0bc55665-99c3-4560-8ce3-e74212f569fb,Ano,YEAR([Date])
LocalDateTable_0bc55665-99c3-4560-8ce3-e74212f569fb,MonthNo,MONTH([Date])
LocalDateTable_0bc55665-99c3-4560-8ce3-e74212f569fb,Mês,"FORMAT([Date], ""MMMM"")"
LocalDateTable_0bc55665-99c3-4560-8ce3-e74212f569fb,QuarterNo,INT(([MonthNo] + 2) / 3)
LocalDateTable_0bc55665-99c3-4560-8ce3-e74212f569fb,Trimestre,"""Trim "" & [QuarterNo]"
LocalDateTable_0bc55665-99c3-4560-8ce3-e74212f569fb,Dia,DAY([Date])
Planilha1 (2),Total,1
